text_content,label
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/66446",1
I've attached the final report for the project. Please review it by end of day. (65),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (700),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (937),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/45737 to avoid suspension. Reply STOP to opt out.,1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (806),0
I've attached the final report for the project. Please review it by end of day. (426),0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/41852",1
I've attached the final report for the project. Please review it by end of day. (414),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (532),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (354)",0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/53541 to avoid suspension. Reply STOP to opt out.,1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (518)",0
I've attached the final report for the project. Please review it by end of day. (188),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (497)",0
I've attached the final report for the project. Please review it by end of day. (855),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/99613 to avoid suspension. Reply STOP to opt out.,1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/21002 to avoid suspension. Reply STOP to opt out.,1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/28037",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/14798",1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (135),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/28745 to avoid suspension. Reply STOP to opt out.,1
I've attached the final report for the project. Please review it by end of day. (629),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/70112 to avoid suspension. Reply STOP to opt out.,1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (289),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/85758 to avoid suspension. Reply STOP to opt out.,1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (905)",0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/97163",1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/43039 to avoid suspension. Reply STOP to opt out.,1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/86743",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/49666",1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (1067)",0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/78011 to avoid suspension. Reply STOP to opt out.,1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (415)",0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/65426 to avoid suspension. Reply STOP to opt out.,1
I've attached the final report for the project. Please review it by end of day. (607),0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/16540",1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (1030)",0
I've attached the final report for the project. Please review it by end of day. (631),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (422)",0
I've attached the final report for the project. Please review it by end of day. (109),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/90097 to avoid suspension. Reply STOP to opt out.,1
I've attached the final report for the project. Please review it by end of day. (111),0
I've attached the final report for the project. Please review it by end of day. (298),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/60729 to avoid suspension. Reply STOP to opt out.,1
I've attached the final report for the project. Please review it by end of day. (173),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (303)",0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (543)",0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/29623",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/66503",1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (480)",0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (398),0
I've attached the final report for the project. Please review it by end of day. (1026),0
I've attached the final report for the project. Please review it by end of day. (941),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (439),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (834),0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/80910",1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/17710 to avoid suspension. Reply STOP to opt out.,1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/84813 to avoid suspension. Reply STOP to opt out.,1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/65915 to avoid suspension. Reply STOP to opt out.,1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (29),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/69792 to avoid suspension. Reply STOP to opt out.,1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (974)",0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/33567",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/98664",1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (939)",0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (352),0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/73230",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/51157",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/77263",1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/95751 to avoid suspension. Reply STOP to opt out.,1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/96988 to avoid suspension. Reply STOP to opt out.,1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (70),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (596),0
I've attached the final report for the project. Please review it by end of day. (538),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (1073)",0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (755),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (534)",0
I've attached the final report for the project. Please review it by end of day. (609),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (479),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (1023)",0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/18004",1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (736),0
I've attached the final report for the project. Please review it by end of day. (845),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/70461 to avoid suspension. Reply STOP to opt out.,1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (593),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/43130 to avoid suspension. Reply STOP to opt out.,1
I've attached the final report for the project. Please review it by end of day. (23),0
I've attached the final report for the project. Please review it by end of day. (682),0
I've attached the final report for the project. Please review it by end of day. (471),0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/47573",1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (275)",0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/30095",1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/41910 to avoid suspension. Reply STOP to opt out.,1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (849)",0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (1057)",0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/95667 to avoid suspension. Reply STOP to opt out.,1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (270)",0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/78577",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/78836",1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (873),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/25048 to avoid suspension. Reply STOP to opt out.,1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (952)",0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/52828 to avoid suspension. Reply STOP to opt out.,1
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (744)",0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (212),0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/61860",1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/97969 to avoid suspension. Reply STOP to opt out.,1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (861),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (210)",0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (585)",0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (344)",0
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/87236",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/88112",1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/91437",1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (247),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (857)",0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (669),0
I've attached the final report for the project. Please review it by end of day. (561),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/66526 to avoid suspension. Reply STOP to opt out.,1
I've attached the final report for the project. Please review it by end of day. (411),0
"Hi, can we reschedule our meeting to 3 PM tomorrow? Let me know if that works for you. (602)",0
I've attached the final report for the project. Please review it by end of day. (115),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/61631 to avoid suspension. Reply STOP to opt out.,1
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/17287 to avoid suspension. Reply STOP to opt out.,1
I've attached the final report for the project. Please review it by end of day. (754),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/25379 to avoid suspension. Reply STOP to opt out.,1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (1000),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (590),0
URGENT! Your bank account requires immediate verification. Click the link NOW: http://scam.link/34070 to avoid suspension. Reply STOP to opt out.,1
"Click here for massive savings on your next purchase! Limited time offer, don't miss out! Link: http://deals.com/25313",1
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (251),0
I've attached the final report for the project. Please review it by end of day. (1084),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (239),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (588),0
Just a reminder that your appointment is set for next Tuesday at 9:00 AM. (931),0
